injection,structure_id,experiment_id,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
1097,1097,181057754,1,630438304,False,1,6140,6890,5670,0.957186243648234,0.17403943836689,202.018264770508,1160.76147460938,1.458487744,3149135565169.52,6840991232,1382005211136,1190602240,8.3802142592
1097,830,181057754,3,630440151,False,1,6770,6000,6130,0.146951763287137,0.540671172724858,2097.22103427472,3878.9214962307,0.2239139427,764245657088,338074048,709016004608,182786892,0.4141407088
1097,194,181057754,2,630437094,False,1,5820,6260,6670,0.432738671287993,0.586234748363495,1654.80493164062,2822.76831054688,0.6593743408,1754256949248,918172736,1519396716544,538264768,1.1247616016
1097,614,181057754,1,630438766,False,1,6440,6980,4770,0.0525821917496096,0.277789235115051,362.948944091797,1306.56237792969,0.0801207526,150525132800,235447200,85455314944,65404696,0.28842282
1097,576073704,181057754,3,630439451,False,1,6720,6230,6780,0.0582584225197061,0.483502014658672,2437.21773958644,5040.76025682538,0.0887697622,397337849856,149875512,365279256576,72465112,0.1835975022
1097,491,181057754,2,630437382,False,1,7900,6380,6210,0.0416039658310728,0.212906709201744,411.292555114392,1931.79706105299,0.063392965234375,165524338944,243061196,99969260352,51749359.375,0.2977499651
1097,606826647,181057754,3,630439546,False,1,7910,6420,5120,0.02567626767045,0.166869868965187,286.755176637509,1718.43591905338,0.03912354775,99361017856,191392192,54882701824,31937590,0.2344554352
1097,331,181057754,3,630439682,False,1,7910,6420,5120,0.191895049865439,0.261083263659687,455.404594785851,1744.28873150389,0.292395111421875,637146306048,914228984,416344080000,238689886.875,1.1199305054
1097,223,181057754,2,630437118,False,1,6470,7150,5990,0.0507295373832212,0.527419924736023,1858.05737304688,3522.91845703125,0.0772978185,248479391744,119639504,222297063424,63100260,0.1465583924
1097,1109,181057754,3,630440565,False,1,5060,5810,6190,0.0345279268774007,0.493635656241739,976.833008516948,1978.85423422206,0.052611034175,102292889600,87003000,84987402240,42947783,0.106578675
1097,226,181057754,3,630439605,False,1,5590,6640,6610,0.131421293755952,0.324375104553778,510.71851054526,1574.46888918255,0.20024979205,384729821472,503951184,257377198080,163469218,0.6173402004
1097,223,181057754,1,630439185,False,1,6410,7160,5660,0.0206370975745395,0.200197666883469,308.979339599609,1543.37121582031,0.03144524285,62757970481.5173,128221200,39617699840,25669586,0.15707097
1097,290,181057754,1,630438240,False,1,6040,6930,5320,0.279371143866011,0.135820053536994,151.193714670477,1113.19139356174,0.425684543692187,973686338944,2558514576,386831322784,347497586.6875,3.1341803556
1097,830,181057754,2,630437757,False,1,6770,6000,6130,0.125252863084397,0.922713279724121,4085.11254882812,4427.28271484375,0.1908508056,699598661120,168846144,689755521024,155796576,0.2068365264
1097,38,181057754,1,630439379,False,0.99641364812851,5970,5430,5620,0.0110386632605756,0.16165429353714,138.099044799805,854.286254882812,0.0168198772,37067272192,84937504,11729787904,13730512,0.1040484424
1097,38,181057754,3,630439464,False,1,6220,5770,5860,0.053273667065007,0.450915276846586,1141.2306287305,2530.92030217193,0.0811743702,197452771328,146956192,167710907392,66264792,0.1800213352
1097,946,181057754,3,630440343,False,1,7690,5670,5690,0.278182863063272,0.543711673948095,1406.71802937129,2587.25000174557,0.4238739316,1030232293376,636402624,895239045120,346019536,0.7795932144
