"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1449072_a_at",0.147142105263158,8.00361538461538,0.918185055707122,0.364078718023939,0.728133123612617,-5.94429297157796
"1429466_s_at",-0.0784605263157895,6.77497435897436,-0.918045429385344,0.364150907520084,0.728226282528095,-5.94441780646713
"1444578_at",-0.0790973684210531,7.55338461538462,-0.917999570121138,0.364174619669173,0.728226282528095,-5.94445880362737
"1430650_at",0.0591684210526315,6.81097435897436,0.917902637776507,0.364224743138897,0.728226282528095,-5.94454545253324
"1428592_s_at",0.112492105263158,6.53684615384615,0.91790201900652,0.364225063117671,0.728226282528095,-5.94454600563051
"1460020_at",0.0973052631578939,7.71479487179487,0.917854921829445,0.364249418578641,0.728226282528095,-5.94458810313496
"1452512_a_at",0.047115789473684,6.96884615384615,0.917812818777622,0.364271192312044,0.728226282528095,-5.94462573492294
"1434249_s_at",0.332618421052631,8.93820512820513,0.917756476394282,0.364300331284651,0.728235924552398,-5.9446760912677
"1449034_at",0.191355263157894,7.89902564102564,0.917701900168989,0.364328558283587,0.728243742377038,-5.94472486627694
"1454483_at",-0.0945342105263156,7.07820512820513,-0.917483040739014,0.364441767341194,0.728293141096199,-5.94492043400923
"1426256_at",-0.17633947368421,6.92735897435897,-0.9174579436791,0.36445475071481,0.728293141096199,-5.94494285730899
"1445114_at",-0.0907394736842107,7.29025641025641,-0.91745076005881,0.364458467047041,0.728293141096199,-5.94494927550138
"1427285_s_at",-0.230428947368422,9.67141025641026,-0.917439866699911,0.364464102600727,0.728293141096199,-5.94495900806115
"1449623_at",0.126660526315789,6.44974358974359,0.917419072196117,0.364474860554604,0.728293141096199,-5.94497758639017
"1425503_at",0.0583157894736843,6.16058974358974,0.917368800538725,0.364500869247869,0.728296519654708,-5.94502249867937
"1454030_at",0.22875,6.90730769230769,0.917251880766311,0.364561363864045,0.728368798289811,-5.94512694474117
"1423895_a_at",0.168526315789474,11.6488974358974,0.917193388149381,0.364591630551503,0.728380677965911,-5.94517919222895
"1436208_at",-0.0582131578947364,6.66741025641026,-0.916991904957701,0.364695899415417,0.728540387646234,-5.94535913908653
"1460600_at",-0.0764236842105269,6.27328205128205,-0.916884779062074,0.364751345640014,0.728602551228759,-5.94545479899524
"1449068_at",-0.168484210526317,9.46628205128205,-0.916779912524964,0.364805627761755,0.728655891842832,-5.94554843100942
"1450964_a_at",0.18685,7.70582051282051,0.916739189457185,0.364826708677527,0.728655891842832,-5.94558478858523
"1440391_at",-0.0606184210526314,6.36228205128205,-0.916661595987349,0.364866878305049,0.728668418477047,-5.94565405979586
"1424035_at",-0.0836657894736846,6.74141025641026,-0.916633080729584,0.364881641186693,0.728668418477047,-5.94567951524979
"1437742_at",-0.193202631578947,9.04797435897436,-0.916519787457073,0.364940299057535,0.728691887455516,-5.94578064420221
"1442584_at",-0.0853000000000003,6.18725641025641,-0.916516111235478,0.364942202532754,0.728691887455516,-5.94578392550677
"1436759_x_at",0.471886842105263,7.07125641025641,0.916469405151082,0.364966386584953,0.728691887455516,-5.94582561310678
"1421261_at",-0.0775947368421056,7.31710256410256,-0.916394872005032,0.365004981428787,0.728707973800834,-5.94589213358897
"1452816_at",0.0439289473684208,6.80394871794872,0.916359870790271,0.365023106713416,0.728707973800834,-5.94592337022145
"1455089_at",-0.0732131578947371,7.51971794871795,-0.916223140702137,0.365093917614025,0.72878991019187,-5.94604538325596
"1428691_at",0.0411552631578951,8.577,0.91618499617623,0.365113673803241,0.72878991019187,-5.94607941895565
"1427959_at",0.156694736842104,6.66246153846154,0.916139664677977,0.365137153241478,0.72878991019187,-5.94611986570239
"1420472_at",-0.102605263157895,6.31148717948718,-0.916002420641052,0.365208244725006,0.728802123196471,-5.94624230915857
"1457773_at",-0.053797368421053,6.61235897435897,-0.915959886372362,0.365230279010173,0.728802123196471,-5.94628025291028
"1451603_at",0.341086842105262,9.33717948717949,0.915879405368589,0.36527197343091,0.728802123196471,-5.94635204337527
"1421975_a_at",-0.0543000000000002,8.10015384615385,-0.915773811491134,0.365326682641932,0.728802123196471,-5.94644622580426
"1419380_at",-0.137426315789474,6.72705128205128,-0.9157570311126,0.365335377207766,0.728802123196471,-5.94646119178304
"1430978_at",0.108268421052631,8.63715384615385,0.915732069342332,0.365348311118594,0.728802123196471,-5.94648345404447
"1455335_at",0.167105263157895,7.86058974358974,0.915726829692414,0.365351026074503,0.728802123196471,-5.94648812697486
"1452524_a_at",-0.0604578947368424,7.87215384615385,-0.915709099591592,0.365360213129176,0.728802123196471,-5.94650393920154
"1436310_at",-0.0685052631578946,7.79597435897436,-0.91570510085604,0.365362285140466,0.728802123196471,-5.9465075053513
"1431755_a_at",-0.0661763157894734,7.79458974358974,-0.915649829496842,0.365390925694212,0.728810711529535,-5.9465567958921
"1429405_at",-0.0795026315789479,7.18028205128205,-0.915594986513823,0.365419345710101,0.728818858862002,-5.94660570159537
"1437585_x_at",-0.12792105263158,11.3328205128205,-0.915509005769949,0.365463904414608,0.728859191137584,-5.94668236845329
"1437711_x_at",-0.136673684210527,10.0653846153846,-0.915390993438177,0.365525068919541,0.728932633444621,-5.94678758584655
"1453324_at",-0.172813157894736,9.07164102564102,-0.915339443912631,0.365551788558528,0.728937380354175,-5.94683354227957
"1433936_at",-0.156242105263158,8.62371794871795,-0.915203959243029,0.36562202029297,0.729028887200676,-5.94695431513059
"1431766_x_at",-0.0744736842105258,10.8212820512821,-0.915077780098923,0.36568743614839,0.729059883478422,-5.94706677751917
"1460523_at",-0.0417552631578953,7.55269230769231,-0.915072999898485,0.365689914527176,0.729059883478422,-5.94707103777896
"1446863_at",-0.13058947368421,6.75282051282051,-0.915002304396074,0.365726569121589,0.729059883478422,-5.94713404126991
"1448748_at",-0.0728315789473678,6.53428205128205,-0.914986162022615,0.365734939042366,0.729059883478422,-5.94714842662181
"1434824_at",0.209044736842105,8.96030769230769,0.914841765631035,0.365809814988176,0.72909363071426,-5.94727709533661
"1419947_at",-0.108373684210526,7.97989743589744,-0.914836379589882,0.365812608082,0.72909363071426,-5.94728189435323
"1438487_s_at",0.174581578947368,8.59889743589744,0.914752463154245,0.365856127261359,0.72909363071426,-5.94735666124417
"1445150_at",-0.0468815789473685,7.54158974358974,-0.914676378467117,0.365895587784432,0.72909363071426,-5.94742444461911
"1451003_at",0.0952473684210529,7.14489743589744,0.914616769950611,0.365926505041183,0.72909363071426,-5.94747754570493
"1438202_at",-0.0777684210526313,7.01148717948718,-0.91460577306338,0.36593220900143,0.72909363071426,-5.94748734170571
"1429902_at",0.3246,8.65346153846154,0.914594852759264,0.365937873295888,0.72909363071426,-5.94749706937484
"1460495_s_at",0.121955263157894,7.4414358974359,0.914577862554148,0.36594668612353,0.72909363071426,-5.94751220381411
"1438009_at",-0.329610526315789,6.58517948717949,-0.914487193615068,0.365993718470969,0.72909363071426,-5.94759296483012
"1428892_at",-0.0712447368421048,7.58035897435897,-0.914484118841685,0.365995313504898,0.72909363071426,-5.94759570347072
"1418256_at",-0.0563394736842108,7.64289743589744,-0.914401849212067,0.366037992419932,0.729099853045589,-5.94766897614929
"1442596_at",0.0693973684210523,6.70064102564103,0.914384242865751,0.366047126461434,0.729099853045589,-5.94768465625761
"1431457_at",-0.0856605263157894,6.10228205128205,-0.914202610320021,0.366141364693265,0.729213192155633,-5.94784640025991
"1428939_s_at",0.149910526315789,10.0646666666667,0.914180715322959,0.366152725754997,0.729213192155633,-5.94786589570359
"1434986_a_at",-0.100836842105263,9.40102564102564,-0.914082775169339,0.366203548567394,0.729240790285024,-5.94795309676254
"1433079_at",-0.080752631578948,6.55264102564103,-0.914060164695927,0.366215282175924,0.729240790285024,-5.94797322673659
"1439297_at",-0.0786552631578954,8.65576923076923,-0.913916584121372,0.366289798383802,0.729340680260388,-5.94810104456769
"1422707_at",0.0758684210526316,6.33753846153846,0.913808793378964,0.366345746647259,0.729403587710328,-5.94819698905692
"1420351_at",-0.0718315789473681,7.05079487179487,-0.913603944399364,0.366452087770153,0.729544916456135,-5.9483792951743
"1448065_at",0.0841473684210527,7.78720512820513,0.913578209447109,0.366465448701663,0.729544916456135,-5.94840219532449
"1438048_at",-0.0783342105263155,6.53351282051282,-0.913451176378499,0.366531405655394,0.729557009950978,-5.94851522617195
"1426909_at",-0.0645052631578945,7.70802564102564,-0.913391875995211,0.366562197691869,0.729557009950978,-5.94856798501735
"1454657_s_at",0.184657894736842,8.59753846153846,0.913382414917702,0.366567110561126,0.729557009950978,-5.94857640212207
"1456951_at",0.16205,6.87010256410256,0.913347920573136,0.366585022857124,0.729557009950978,-5.9486070895169
